iteration=403,error=5.721232,theta1=-0.198853,theta2=0.821637
iteration=404,error=5.720784,theta1=-0.199519,theta2=0.821704
iteration=405,error=5.720336,theta1=-0.200185,theta2=0.821771
iteration=406,error=5.719887,theta1=-0.200851,theta2=0.821838
iteration=407,error=5.719439,theta1=-0.201517,theta2=0.821905
iteration=408,error=5.718991,theta1=-0.202183,theta2=0.821972
iteration=409,error=5.718544,theta1=-0.202849,theta2=0.822039
iteration=410,error=5.718096,theta1=-0.203515,theta2=0.822105
iteration=411,error=5.717649,theta1=-0.204180,theta2=0.822172
iteration=412,error=5.717201,theta1=-0.204846,theta2=0.822239
iteration=413,error=5.716754,theta1=-0.205511,theta2=0.822306
iteration=414,error=5.716307,theta1=-0.206176,theta2=0.822373
iteration=415,error=5.715861,theta1=-0.206841,theta2=0.822440
iteration=416,error=5.715414,theta1=-0.207506,theta2=0.822506
iteration=417,error=5.714968,theta1=-0.208171,theta2=0.822573
iteration=418,error=5.714521,theta1=-0.208836,theta2=0.822640
iteration=419,error=5.714075,theta1=-0.209501,theta2=0.822707
iteration=420,error=5.713629,theta1=-0.210165,theta2=0.822774
iteration=421,error=5.713183,theta1=-0.210829,theta2=0.822840
iteration=422,error=5.712738,theta1=-0.211494,theta2=0.822907
iteration=423,error=5.712292,theta1=-0.212158,theta2=0.822974
iteration=424,error=5.711847,theta1=-0.212822,theta2=0.823040
iteration=425,error=5.711402,theta1=-0.213486,theta2=0.823107
iteration=426,error=5.710957,theta1=-0.214150,theta2=0.823174
iteration=427,error=5.710512,theta1=-0.214813,theta2=0.823241
iteration=428,error=5.710067,theta1=-0.215477,theta2=0.823307
iteration=429,error=5.709623,theta1=-0.216140,theta2=0.823374
iteration=430,error=5.709179,theta1=-0.216803,theta2=0.823440
iteration=431,error=5.708734,theta1=-0.217467,theta2=0.823507
iteration=432,error=5.708290,theta1=-0.218130,theta2=0.823574
iteration=433,error=5.707846,theta1=-0.218793,theta2=0.823640
iteration=434,error=5.707403,theta1=-0.219455,theta2=0.823707
iteration=435,error=5.706959,theta1=-0.220118,theta2=0.823773
iteration=436,error=5.706516,theta1=-0.220781,theta2=0.823840
iteration=437,error=5.706073,theta1=-0.221443,theta2=0.823907
iteration=438,error=5.705629,theta1=-0.222105,theta2=0.823973
iteration=439,error=5.705187,theta1=-0.222768,theta2=0.824040
iteration=440,error=5.704744,theta1=-0.223430,theta2=0.824106
iteration=441,error=5.704301,theta1=-0.224092,theta2=0.824173
iteration=442,error=5.703859,theta1=-0.224754,theta2=0.824239
iteration=443,error=5.703416,theta1=-0.225415,theta2=0.824306
iteration=444,error=5.702974,theta1=-0.226077,theta2=0.824372
iteration=445,error=5.702532,theta1=-0.226738,theta2=0.824439
iteration=446,error=5.702091,theta1=-0.227400,theta2=0.824505
iteration=447,error=5.701649,theta1=-0.228061,theta2=0.824571
iteration=448,error=5.701207,theta1=-0.228722,theta2=0.824638
